Timestamp,UserID,Action,ResponseTime
2024-06-22 18:16:42,U0050,LOGOUT,304.96
2024-06-22 22:37:28,U0033,LOGOUT,315.25
2024-06-26 07:32:04,U0020,ERROR,8678.03
2024-06-03 22:52:00,U0031,UPLOAD,224.61
2024-06-06 05:47:04,U0032,SEARCH,232.91
2024-06-04 22:07:39,U0021,SEARCH,51.53
2024-06-14 08:25:00,U0040,SEARCH,283.21
2024-06-16 18:52:06,U0025,DOWNLOAD,274.67
2024-06-23 00:37:00,U0033,SEARCH,67.61
2024-06-06 13:18:07,U0042,SEARCH,389.1
2024-06-11 10:31:12,U0028,ERROR,2095.02
2024-06-17 10:53:02,U0030,LOGOUT,370.21
2024-06-16 04:08:42,U0028,LOGOUT,142.35
2024-06-08 09:50:14,U0044,DOWNLOAD,52.22
2024-06-05 03:27:24,U0006,ERROR,6714.07
2024-06-19 02:09:54,U0009,SEARCH,301.5
2024-06-28 06:17:44,U0036,LOGOUT,78.67
2024-06-18 03:58:17,U0043,DOWNLOAD,223.01
2024-06-03 11:56:20,U0019,SEARCH,188.79
2024-06-29 01:19:25,U0033,LOGOUT,335.23
2024-06-11 21:15:51,U0007,LOGOUT,287.01
2024-06-06 13:51:03,U0049,LOGOUT,128.56
2024-06-21 19:57:07,U0036,DOWNLOAD,412.84
2024-06-30 18:51:52,U0044,SEARCH,32.6
2024-06-13 23:35:57,U0002,LOGIN,357.3
2024-06-15 23:59:35,U0022,LOGOUT,107.07
2024-06-07 22:54:00,U0037,SEARCH,53.4
2024-06-02 11:43:05,U0006,SEARCH,123.26
2024-06-21 09:08:25,U0030,LOGOUT,197.63
2024-06-16 17:56:00,U0050,DOWNLOAD,306.19
2024-06-03 13:17:37,U0010,LOGIN,316.56
2024-06-04 23:02:57,U0018,ERROR,3844.93
2024-06-30 11:17:41,U0029,ERROR,1979.34
2024-06-25 20:55:36,U0008,LOGOUT,73.23
2024-06-29 19:03:05,U0032,SEARCH,168.04
2024-06-11 16:55:21,U0026,DOWNLOAD,46.3
2024-06-10 22:10:12,U0020,DOWNLOAD,388.33
2024-06-13 09:42:06,U0019,LOGOUT,23.71
2024-06-21 21:44:58,U0012,LOGIN,275.64
2024-06-12 04:05:54,U0033,SEARCH,340.66
2024-06-18 04:38:04,U0005,LOGOUT,376.18
2024-06-22 04:13:57,U0002,ERROR,746.87
2024-06-16 04:44:31,U0037,ERROR,3669.58
2024-06-21 06:38:55,U0019,LOGIN,30.01
2024-06-16 18:22:56,U0011,UPLOAD,316.7
2024-06-18 13:35:20,U0006,ERROR,997.48
2024-06-22 03:35:59,U0038,ERROR,753.89
2024-06-16 01:29:45,U0048,LOGOUT,179.87
2024-06-09 03:53:19,U0005,SEARCH,74.73
2024-06-25 18:08:13,U0013,DOWNLOAD,187.7
2024-06-08 04:04:16,U0016,LOGIN,142.86
2024-06-09 10:08:27,U0039,LOGIN,384.39
2024-06-04 15:47:34,U0012,DOWNLOAD,321.42
2024-06-23 12:32:40,U0049,SEARCH,298.14
2024-06-28 09:40:50,U0042,SEARCH,319.77
2024-06-16 08:19:42,U0010,ERROR,4246.84
2024-06-15 16:48:40,U0018,SEARCH,188.93
2024-06-04 14:26:18,U0020,ERROR,386.58
2024-06-18 21:36:37,U0019,LOGIN,434.84
2024-06-05 09:12:10,U0040,SEARCH,204.55
2024-06-29 04:07:57,U0036,DOWNLOAD,374.68
2024-06-02 23:47:41,U0029,DOWNLOAD,294.4
2024-06-10 03:18:53,U0021,SEARCH,260.66
2024-06-04 00:05:17,U0029,LOGIN,451.58
2024-06-17 16:08:02,U0046,LOGIN,330.14
2024-06-02 21:36:13,U0016,SEARCH,495.67
2024-06-26 10:35:02,U0034,SEARCH,194.67
2024-06-14 17:35:41,U0025,ERROR,3078.39
2024-06-30 00:35:15,U0004,UPLOAD,330.71
2024-06-04 04:47:34,U0022,LOGIN,345.62
2024-06-14 19:03:18,U0017,SEARCH,335.15
2024-06-30 06:11:50,U0010,LOGOUT,299.71
2024-06-07 20:46:33,U0023,LOGOUT,334.91
2024-06-20 00:39:50,U0009,SEARCH,470.24
2024-06-16 00:41:20,U0036,LOGOUT,400.0
2024-06-07 04:53:25,U0043,SEARCH,474.61
2024-06-26 13:17:33,U0006,SEARCH,223.24
2024-06-18 13:33:37,U0002,LOGOUT,106.53
2024-06-11 09:33:09,U0022,DOWNLOAD,253.41
2024-06-11 23:56:30,U0009,LOGIN,161.98
2024-06-05 21:50:15,U0033,UPLOAD,420.86
2024-06-26 13:27:13,U0003,SEARCH,440.67
2024-06-07 08:40:59,U0039,LOGOUT,97.88
2024-06-09 00:52:01,U0047,ERROR,3727.18
2024-06-12 12:44:33,U0029,SEARCH,381.15
2024-06-22 19:02:20,U0015,SEARCH,168.54
2024-06-23 18:26:34,U0013,LOGOUT,474.62
2024-06-22 09:19:59,U0030,UPLOAD,393.5
2024-06-25 09:55:43,U0034,ERROR,1500.42
2024-06-10 16:39:52,U0039,LOGIN,140.0
2024-06-24 07:55:43,U0024,SEARCH,69.24
2024-06-26 01:04:40,U0008,LOGOUT,386.3
2024-06-14 05:49:29,U0029,DOWNLOAD,90.73
2024-06-22 05:41:32,U0006,DOWNLOAD,126.58
2024-06-22 21:36:07,U0023,DOWNLOAD,219.15
2024-06-20 05:54:08,U0033,LOGOUT,205.36
2024-06-04 23:04:38,U0024,LOGOUT,172.97
2024-06-05 19:26:24,U0046,SEARCH,399.86
2024-06-07 16:18:54,U0003,LOGOUT,418.29
2024-06-07 17:42:18,U0049,SEARCH,235.33
2024-06-01 06:07:05,U0006,LOGIN,123.51
2024-06-08 06:12:10,U0036,DOWNLOAD,312.26
2024-06-21 13:07:39,U0008,UPLOAD,134.07
2024-06-06 21:57:49,U0004,LOGOUT,326.7
2024-06-23 04:34:33,U0005,LOGIN,454.47
2024-06-29 23:15:04,U0035,LOGIN,267.38
2024-06-12 17:52:42,U0046,LOGIN,226.03
2024-06-30 20:18:18,U0023,LOGOUT,219.95
2024-06-05 03:44:50,U0034,DOWNLOAD,52.49
2024-06-26 12:54:13,U0035,SEARCH,494.4
2024-06-27 21:38:01,U0002,LOGOUT,245.66
2024-06-19 18:44:57,U0024,LOGOUT,27.8
2024-06-04 06:42:45,U0023,LOGOUT,335.41
2024-06-06 00:46:37,U0050,SEARCH,383.21
2024-06-07 11:26:00,U0003,LOGOUT,182.5
2024-06-09 11:59:37,U0050,SEARCH,490.79
2024-06-24 05:31:45,U0041,LOGIN,84.73
2024-06-23 05:14:07,U0003,LOGOUT,41.03
2024-06-10 16:23:57,U0003,LOGOUT,168.84
2024-06-20 07:57:52,U0035,ERROR,377.76
2024-06-10 06:39:05,U0019,LOGOUT,394.8
2024-06-17 02:43:13,U0018,LOGIN,196.65
2024-06-20 10:03:32,U0048,ERROR,8610.48
2024-06-17 11:00:22,U0012,ERROR,4502.83
2024-06-26 05:00:00,U0018,UPLOAD,369.0
2024-06-04 19:57:23,U0028,SEARCH,414.72
2024-06-27 11:31:25,U0019,LOGOUT,58.43
2024-06-15 08:26:43,U0020,ERROR,6473.08
2024-06-09 02:09:18,U0045,ERROR,4051.81
